State,Location,Place,NatureOfLocation,LocationType,Category,Size(sqft),Footfall,IncomeLevel,AgeGroup,PPI,Light,Rate(1month)
Maharashtra,Mumbai,Bandra,CBD,Urban,Hoardings,855,,LowerMiddle,MiddleAged,Medium,No,180000
Maharashtra,Mumbai,Dadar Flyover,SH,Urban,Hoardings,800,,LowerMiddle,MiddleAged,Medium,No,100000
Maharashtra,Mumbai,Dadar Flyover,SH,Urban,Hoardings,600,,LowerMiddle,MiddleAged,Medium,No,90000
Maharashtra,Mumbai,ELPHINSTONE FLYOVER,CBD,Urban,Hoardings,1700,,LowerMiddle,MiddleAged,Medium,No,320000
Maharashtra,Mumbai,KEMPS CORNER,CBD,Urban,Hoardings,480,,LowerMiddle,MiddleAged,High,No,260000
Maharashtra,Mumbai,LOWER PAREL FLYOVER,CBD,Urban,Hoardings,600,,Low,MiddleAged,Low,No,70000
Maharashtra,Kolkata,Technopolis Flyover,TechPark,Urban,Hoardings,1600,,UpperMiddle,Young,High,Yes,275000
WestBengal,Kolkata,Sector 5,CBD,Urban,Hoardings,300,,LowerMiddle,MiddleAged,Medium,No,55000
WestBengal,Kolkata,Sector V,CBD,Urban,Unipole,300,,LowerMiddle,MiddleAged,Medium,Yes,75000
WestBengal,Kolkata,JLN Marg Trimurti Circle,CBD,Urban,Gantry,440,,LowerMiddle,MiddleAged,Medium,Yes,250000
WestBengal,Kolkata,Birla Mandir,CBD,Urban,Gantry,400,,LowerMiddle,MiddleAged,High,Yes,425000
WestBengal,Kolkata,World Trade Park,TechPark,Urban,Gantry,368,,UpperMiddle,Young,High,Yes,300000
WestBengal,Kolkata,Technopolis Bridge Facing Airport ,AirportRoad,Urban,Hoardings,1600,,UpperMiddle,Young,Medium,Yes,15000
WestBengal,Kolkata,"B2 Bypass Circle, Facing Airport",AirportRoad,Rural,Gantry,360,,UpperMiddle,MiddleAged,Medium,No,200000
Telangana,Hyderabad,RGIA,Airport,Urban,Digital,1.8,270000,UpperMiddle,Young,High,Yes,1250000
Karnataka,Bangalore,Adugodi,CBD,Urban,Hoardings,750,,LowerMiddle,Young,High,Yes,89000
Karnataka,Bangalore,AirportRoad,AirportRoad,Rural,Hoardings,1200,,UpperMiddle,Young,High,Yes,125000
Karnataka,Bangalore,ANAND RAO CIRCLE,CBD,Urban,Hoardings,300,,UpperMiddle,Young,High,Yes,110000
Karnataka,Bangalore,BANASHANKARI,CBD,Urban,Hoardings,400,,High,Young,High,No,50000
Karnataka,Bangalore,BANASWADI,CBD,Urban,Hoardings,750,,High,Young,High,No,130000
Karnataka,Bangalore,BASAVESHWARA NAGAR,CBD,Urban,Hoardings,900,,High,Young,High,Yes,85000
Karnataka,Bangalore,BELLANDUR,CBD,Urban,Hoardings,2480,,High,Young,High,Yes,185000
Karnataka,Bangalore,BTM LAYOUT,CBD,Urban,Hoardings,600,,UpperMiddle,Young,High,No,100000
Telangana,Hyderabad,Moosapet,Metro,Urban,PillarAd,50,,LowerMiddle,MiddleAged,High,Yes,30000
Telangana,Hyderabad,Miyapur,Metro,Urban,PillarAd,50,,LowerMiddle,MiddleAged,High,Yes,30000
TamilNadu,Chennai,ChennaiMetro,Metro,Urban,Digital,120,12500000,UpperMiddle,MiddleAged,High,Yes,200000
TamilNadu,Chennai,ChennaiMetro,Metro,Urban,PartialWrap,0,12500000,UpperMiddle,MiddleAged,High,Yes,1500000
TamilNadu,Chennai,ChennaiMetro,Metro,Urban,FullWrap,0,12500000,UpperMiddle,MiddleAged,High,Yes,2300000
Delhi,Delhi,DelhiMetro,Metro,Urban,Digital,120,12500000,UpperMiddle,MiddleAged,Medium,Yes,200000
Delhi,Delhi,DelhiMetro,Metro,Urban,PartialWrap,0,12500000,UpperMiddle,MiddleAged,Medium,Yes,1500000
Delhi,Delhi,DelhiMetro,Metro,Urban,FullWrap,0,12500000,UpperMiddle,MiddleAged,Medium,Yes,2300000
Delhi,Delhi,IGI,Airport,Urban,Digital,512,303000,UpperMiddle,MiddleAged,High,Yes,1425000
Delhi,Delhi,IGI,Airport,Urban,Digital,225,303000,UpperMiddle,MiddleAged,High,Yes,997000
Delhi,Delhi,IGI,Airport,Urban,Hoardings,12,303000,UpperMiddle,MiddleAged,High,Yes,161000
Delhi,Delhi,IGI,Airport,Urban,PillarAd,111,303000,UpperMiddle,MiddleAged,High,Yes,441000
TamilNadu,Chennai,Meenambakkam,Airport,Urban,Digital,48,1373731,UpperMiddle,Young,High,Yes,516800
